City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Sibolga,ID,1.74,98.78,76.32,89,100,0.63,heavy intensity rain
182,Itaguai,BR,-22.85,-43.78,78.42,78,75,6.91,broken clouds
183,Husainabad,IN,24.53,84.02,80.08,87,31,7.09,scattered clouds
184,Greenfield,US,42.96,-88.01,75.6,83,75,16.11,broken clouds
185,Leshukonskoye,RU,64.9,45.76,43.18,83,36,7.4,scattered clouds
186,Maloy,NO,61.94,5.11,59.74,64,100,20.27,overcast clouds
187,Mahebourg,MU,-20.41,57.7,73.69,73,75,11.5,broken clouds
188,Airai,TL,-8.93,125.41,62.15,86,93,1.92,overcast clouds
189,Arica,CL,-18.48,-70.3,59.23,77,100,3.44,overcast clouds
190,Gari,RU,59.43,62.35,56.07,61,62,8.72,broken clouds
191,Saint-Georges,GD,12.06,-61.75,82.08,83,75,28.77,broken clouds
192,Coari,BR,-4.08,-63.14,92.61,45,12,2.77,few clouds
193,Juneau,US,58.3,-134.42,54.1,99,99,3.56,overcast clouds
194,Santa Cruz,BO,-17.8,-63.17,72.86,68,75,11.5,broken clouds
195,Talara,PE,-4.58,-81.27,65.16,77,0,27.63,clear sky
196,Hamilton,US,39.18,-84.53,78.82,78,0,1.99,clear sky
197,Oum Hadjer,TD,13.3,19.7,94.28,36,38,7.94,scattered clouds
198,Panzhihua,CN,26.59,101.71,71.33,88,100,1.74,overcast clouds
199,Ancud,CL,-41.87,-73.82,45.23,79,50,5.14,scattered clouds
200,Pizarro,CO,4.95,-77.37,78.98,80,99,4.21,overcast clouds
201,Imbituba,BR,-28.24,-48.67,68.86,68,6,4.74,clear sky
202,Fort Nelson,CA,58.81,-122.7,40.59,87,20,10.36,few clouds
203,Tucuman,AR,-26.82,-65.22,53.6,100,100,3.44,light intensity drizzle
204,Necochea,AR,-38.55,-58.74,58.23,45,99,8.95,overcast clouds
205,Alappuzha,IN,9.49,76.33,79.81,82,0,7.7,clear sky
206,Muroto,JP,33.28,134.15,71.6,65,98,13.98,overcast clouds
207,Cockburn Town,TC,21.46,-71.14,82.49,82,100,27.09,overcast clouds
208,Oistins,BB,13.07,-59.53,84.29,79,40,17.27,scattered clouds
209,Esperance,AU,-33.87,121.9,60.55,72,0,13.11,clear sky
210,Kirkuk,IQ,35.47,44.39,99.73,12,86,16.98,overcast clouds
211,Gizo,SB,-8.1,156.84,76.78,82,100,9.51,light rain
212,Nueva Guinea,NI,11.69,-84.46,77.79,87,29,10.36,scattered clouds
213,Mecca,SA,21.43,39.83,98.46,17,1,15.39,clear sky
214,Tuatapere,NZ,-46.13,167.68,42.44,93,33,2.71,scattered clouds
215,Port Hedland,AU,-20.32,118.57,68.05,52,4,8.05,clear sky
216,San Angelo,US,31.46,-100.44,77.29,79,0,7.0,clear sky
