City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Tuatapere,NZ,2022-09-21 20:28:27,-46.13,167.68,44.42,89,16,2.98
193,Ust-Omchug,RU,2022-09-21 20:28:27,61.15,149.63,21.58,87,25,3.74
194,Nikolskoye,RU,2022-09-21 20:27:58,59.7,30.79,49.89,97,17,4.14
195,Luwuk,ID,2022-09-21 20:28:28,-0.95,122.79,76.19,85,90,2.84
196,Ilulissat,GL,2022-09-21 20:28:28,69.22,-51.1,35.62,80,75,1.14
197,Bucerias,MX,2022-09-21 20:25:06,20.75,-105.33,86.99,79,75,8.05
198,Porto Santo,PT,2022-09-21 20:28:29,33.07,-16.34,73.78,73,20,8.05
199,Prokopyevsk,RU,2022-09-21 20:28:29,53.91,86.72,49.23,67,73,0.92
200,Bera,BD,2022-09-21 20:28:30,24.08,89.62,79.68,90,35,8.37
201,Mildura,AU,2022-09-21 20:28:30,-34.2,142.15,57.07,93,99,10.54
202,Norman Wells,CA,2022-09-21 20:28:30,65.28,-126.83,50.04,87,75,4.61
203,Hamilton,US,2022-09-21 20:25:30,39.18,-84.53,96.66,47,40,13.8
204,Manuk Mangkaw,PH,2022-09-21 20:28:31,4.8,119.85,82.89,70,100,3.8
205,Lukovetskiy,RU,2022-09-21 20:28:31,64.3,41.92,37.08,90,31,2.64
206,Tuktoyaktuk,CA,2022-09-21 20:28:32,69.45,-133.04,41.0,93,100,18.41
207,Santa Leopoldina,BR,2022-09-21 20:28:32,-20.1,-40.53,78.42,81,95,2.98
208,Katsuura,JP,2022-09-21 20:28:31,35.13,140.3,68.76,71,100,20.31
209,Mana,GF,2022-09-21 20:28:33,5.66,-53.78,82.4,77,31,13.18
210,Kukuna,SL,2022-09-21 20:28:33,9.4,-12.67,73.02,98,100,6.49
211,Havelock,US,2022-09-21 20:28:33,34.88,-76.9,89.06,63,0,9.22
212,Varkkallai,IN,2022-09-21 20:28:34,8.73,76.71,80.38,91,2,6.71
213,Lodja,CD,2022-09-21 20:28:34,-3.48,23.43,69.22,98,97,1.86
214,Saskylakh,RU,2022-09-21 20:28:35,71.92,114.08,15.91,96,44,5.41
215,Ahipara,NZ,2022-09-21 20:28:35,-35.17,173.17,56.44,85,20,5.77
216,Kaitangata,NZ,2022-09-21 20:28:35,-46.28,169.85,44.06,88,28,3.06
217,Omsukchan,RU,2022-09-21 20:28:36,62.53,155.8,27.59,94,100,3.44
218,Dakar,SN,2022-09-21 20:28:36,14.69,-17.44,84.33,84,40,4.61
219,Umm Lajj,SA,2022-09-21 20:28:37,25.02,37.27,81.88,62,0,3.6
220,Svetlogorsk,BY,2022-09-21 20:28:37,52.63,29.73,46.36,93,100,4.61
221,Soe,ID,2022-09-21 20:28:38,-9.86,124.28,66.11,92,94,3.87
222,Cidreira,BR,2022-09-21 20:27:23,-30.18,-50.21,63.9,82,71,11.39
223,Tallahassee,US,2022-09-21 20:24:08,30.44,-84.28,93.99,44,20,8.05
224,Farmington,US,2022-09-21 20:28:10,36.73,-108.22,66.88,82,100,4.61
225,Trelleborg,SE,2022-09-21 20:28:38,55.38,13.16,46.35,66,37,7.54
226,Touros,BR,2022-09-21 20:28:05,-5.2,-35.46,78.44,77,1,12.1
227,Taoudenni,ML,2022-09-21 20:28:39,22.68,-3.98,92.35,32,34,18.3
228,Rosario,AR,2022-09-21 20:28:39,-32.95,-60.64,55.31,71,100,10.36
229,Havre-Saint-Pierre,CA,2022-09-21 20:28:40,50.23,-63.6,52.16,93,100,11.5
230,Teahupoo,PF,2022-09-21 20:29:40,-17.83,-149.27,76.96,76,23,16.71
231,Sabha,LY,2022-09-21 20:29:41,27.04,14.43,92.1,11,0,9.1
