City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Zhangye,CN,66.22,scattered clouds,38.93,100.45,Zhangye Lvzhou Holiday Inn
449,Saint-Paul,RE,73.51,scattered clouds,-21.01,55.27,Boucan Canot
450,Bairiki,KI,80.17,light rain,1.33,172.98,Tarawa Boutique Hotel
451,Cartagena Del Chaira,CO,82.47,broken clouds,1.33,-74.84,HOTEL LA ROCA
452,Vila Velha,BR,79.95,overcast clouds,-20.33,-40.29,Hotel Vitória Palace
453,Langsa,ID,74.21,light rain,4.47,97.97,OYO 3328 Hotel Mori
454,Faya,SA,71.98,scattered clouds,18.39,42.45,أبو تركي للوحدات السكنيه
456,Byron Bay,AU,64.94,light rain,-28.65,153.62,Backpackers Inn
457,Itarema,BR,87.28,few clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
458,Jalalabad,AF,84.38,clear sky,34.43,70.45,انصاف چهاردهي هوټل
460,Cam Ranh,VN,76.96,scattered clouds,11.92,109.16,OYO 598 Peony Hotel
462,Jiangyou,CN,67.66,overcast clouds,31.77,104.72,Shangping Shuyuan Inn
463,Progreso,MX,82.11,clear sky,21.28,-89.67,Playa Linda Hotel
464,Zhob,PK,84.0,clear sky,31.34,69.45,Cooperative office zhob
466,Wenling,CN,69.3,overcast clouds,28.37,121.36,Hanting Express Wenling Wanchang North Road
467,Tetouan,MA,80.91,scattered clouds,35.57,-5.37,Athens Hôtel
469,Huarmey,PE,64.02,overcast clouds,-10.07,-78.15,Hotel Miramar
470,Hualmay,PE,62.74,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
473,Korla,CN,78.42,overcast clouds,41.76,86.15,Gulisitan Hotel
474,Ayagoz,KZ,64.26,clear sky,47.97,80.44,ХАН
479,Dayong,CN,71.42,clear sky,25.02,118.29,Haiyue Express Hotel
480,Olinda,BR,81.54,few clouds,-8.01,-34.86,Hotel 5 Sóis
481,Shakawe,BW,90.99,clear sky,-18.37,21.85,Ditlhapi Guest House
484,Vao,NC,72.25,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
485,Feira De Santana,BR,85.53,scattered clouds,-12.27,-38.97,Hotel Paraiso
486,Aksu,CN,78.39,overcast clouds,41.12,80.26,Pudong Holiday Hotel
487,Jumla,NP,61.81,overcast clouds,29.27,82.18,Hotel Sundar Rara Karnali
488,Alofi,NU,76.06,overcast clouds,-19.06,-169.92,Taloa Heights
491,Tabas,IR,91.94,clear sky,33.6,56.92,مهمانسرای مخابرات طبس
492,Los Llanos De Aridane,ES,78.55,scattered clouds,28.66,-17.92,Valle Aridane
496,San Ramon,US,61.83,light rain,37.78,-121.98,San Ramon Marriott
497,Bathsheba,BB,82.58,broken clouds,13.22,-59.52,Atlantis Hotel
499,Alyangula,AU,77.43,clear sky,-13.85,136.42,Groote Eylandt Lodge
502,Acajutla,SV,79.63,overcast clouds,13.59,-89.83,Urbanización Brisas de Acajutla II
503,Shaowu,CN,71.33,few clouds,27.34,117.48,Yijie Express Hotel
505,Samarai,PG,80.2,overcast clouds,-10.62,150.67,Nuli Sapi
506,Falun,SE,62.94,overcast clouds,60.6,15.63,First Hotel Grand
509,Yokadouma,CM,76.8,moderate rain,3.52,15.05,Hôtel De Ville De Yokadouma
510,Kismayo,SO,79.75,overcast clouds,-0.36,42.55,Agan-Hotel
511,Kiama,AU,63.57,heavy intensity rain,-34.68,150.87,The Sebel Kiama Harbourside
515,Bubaque,GW,81.68,overcast clouds,11.28,-15.83,"Casa Dora, Bubaque"
516,Payakumbuh,ID,70.93,heavy intensity rain,-0.22,100.63,Dalimo Homestay
517,Tezu,IN,75.87,overcast clouds,27.92,96.17,Circuit House
519,Awbari,LY,103.21,clear sky,26.59,12.78,فندق أوباري
520,Fukue,JP,72.97,overcast clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
525,Zhanakorgan,KZ,81.16,clear sky,43.91,67.25,"""Ақпалас"" қонақ үйі"
526,Harper,LR,80.71,broken clouds,4.38,-7.72,Screensaver
527,Bor,RU,60.73,broken clouds,56.36,44.07,Oktyabrskaya Hotel
528,Westport,US,71.89,clear sky,41.14,-73.36,The Westport Inn
