City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Maracas,BR,86.07,few clouds,-13.44,-40.43,Pousada Vale Aprazível
460,Rolla,US,94.23,broken clouds,37.95,-91.77,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
461,Huarmey,PE,67.75,overcast clouds,-10.07,-78.15,Hotel Miramar
462,Claremore,US,95.11,clear sky,36.31,-95.62,Super 8 by Wyndham Claremore OK
463,Moranbah,AU,71.58,scattered clouds,-22.0,148.05,Property Vine - Monterey Moranbah
464,Nakamura,JP,63.68,overcast clouds,32.98,132.93,Hotel Crown Hills Nakamura
466,Buraydah,SA,102.65,scattered clouds,26.33,43.98,Mövenpick Qassim
468,Manicore,BR,93.15,clear sky,-5.81,-61.3,Pousada da wanda
469,Jackson,US,60.67,overcast clouds,42.42,-122.83,Agate Village Apartments
470,Kirando,TZ,82.99,broken clouds,-7.42,30.6,"Lake Shore Lodge, Tanganyika"
471,Pantai Remis,MY,77.02,overcast clouds,4.46,100.63,Leisure Homestay
472,Matara,LK,78.12,clear sky,5.95,80.54,Amaloh Boutique Resort
473,Rio Grande,BR,60.91,overcast clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
474,Korla,CN,75.94,broken clouds,41.76,86.15,Gulisitan Hotel
475,Muisne,EC,76.42,overcast clouds,0.6,-80.03,Quinta Samay
476,Bairiki,KI,80.6,light rain,1.33,172.98,Tarawa Boutique Hotel
479,Cascais,PT,82.22,few clouds,38.7,-9.42,Hotel Vila Galé Cascais
480,Tandil,AR,60.69,overcast clouds,-37.32,-59.13,Hostal de la Sierra Tandil
482,Yarovoye,RU,64.09,clear sky,52.93,78.58,KirOFF Park
483,Kralendijk,BQ,89.58,broken clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
485,Prado,BR,80.62,broken clouds,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
486,Huilong,CN,67.93,few clouds,31.81,121.66,Hilton Garden Inn Qidong
487,San Rafael Del Sur,NI,83.37,overcast clouds,11.85,-86.44,Hospedaje El Chino
488,De Aar,ZA,61.93,clear sky,-30.65,24.01,Nyibiba Guesthouse
489,Los Llanos De Aridane,ES,75.13,few clouds,28.66,-17.92,Valle Aridane
490,Florianopolis,BR,70.56,few clouds,-27.61,-48.5,Hotel Boutique Quinta das Videiras
492,Balkanabat,TM,87.35,clear sky,39.51,54.37,Nebitchi Hotel
494,Donghai,CN,75.42,broken clouds,22.95,115.64,Huacheng Restaurant
495,Carlsbad,US,78.01,clear sky,33.16,-117.35,Carlsbad Inn Beach Resort
496,Lavumisa,SZ,60.49,light rain,-27.31,31.89,ROADSIDE B&B
498,Saint-Augustin,CA,60.42,scattered clouds,51.23,-58.65,Riverview Inn
499,Umm Lajj,SA,83.19,clear sky,25.02,37.27,Moon light Furnished Units
502,Taltal,CL,61.93,clear sky,-25.4,-70.48,Residencial Karime
505,Ahmadnagar,IN,72.84,overcast clouds,19.08,74.73,STARiHOTELS Maliwada Ahmednagar
506,Kajiado,KE,69.33,broken clouds,-1.85,36.78,Masai Lodge
507,Sabzevar,IR,78.08,clear sky,36.21,57.68,منزل عبدالوهاب برهانی سبزوار
508,Northam,GB,65.61,overcast clouds,51.03,-4.22,Durrant House Hotel
510,Huaicheng,CN,74.37,scattered clouds,23.91,112.19,Tengye Hotel
511,Beyneu,KZ,76.24,clear sky,45.32,55.2,NUR
512,Potiskum,NG,84.49,overcast clouds,11.71,11.07,Tamir Hotel Ltd
513,Bereda,ES,71.42,clear sky,43.27,-7.54,Pazo de Verdes
514,Melilla,ES,79.0,light rain,35.29,-2.94,Hotel Anfora
515,Imbituba,BR,65.48,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
517,San Juan Bautista,PE,77.86,broken clouds,-14.01,-75.74,Hotel Las Dunas
518,Morondava,MG,76.62,clear sky,-20.28,44.28,La Case Bambou
519,Bodden Town,KY,86.0,broken clouds,19.28,-81.25,Will T Place
520,Luganville,VU,76.93,clear sky,-15.53,167.17,The Espiritu Hotel
521,Moundou,TD,75.9,light rain,8.57,16.08,Auberge Le Roi
522,Bonthe,SL,77.58,light rain,7.53,-12.5,Bonthe Holiday Village
523,Semnan,IR,78.42,scattered clouds,35.57,53.4,Semnan Tourist Hotel
525,Mbandaka,CD,74.66,light rain,0.05,18.26,Guest House Epervier
526,Kutum,SD,83.5,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
527,Talas,TR,61.47,light rain,38.69,35.55,Fimaj Residence
528,Brownsville,US,89.55,clear sky,25.9,-97.5,Best Western Hotel Plaza Matamoros
529,Marsh Harbour,BS,84.43,clear sky,26.54,-77.06,Abaco Beach Resort
